address;district;area;bedrooms;garage;type;rent;total;cep;Zona
Rua Nanuque;Vila Leopoldina;115;3;2;Apartamento;4450;6177;05302-020;Oeste
Rua Olímpia de Almeida Prado;Barra Funda;33;1;1;Studio e kitnet;2550;3286;01151-010;Central
Rua do Lavapés;Cambuci;45;2;0;Apartamento;2500;3046;01519-000;Central
Rua São Venceslau;Vila Guarani (z Sul);53;2;1;Apartamento;1900;2774;04316-070;Sul
Rua Doutor Cesário Mota Júnior;Vila Buarque;30;1;0;Studio e kitnet;1350;1830;01221-020;Central
Avenida Deputado Emílio Carlos;Limão;49;2;1;Apartamento;1900;2359;02721-000;Norte
Rua Caio Prado;Consolação;24;1;0;Studio e kitnet;4300;4765;01303-001;Central
Avenida Joaquina Ramalho;Vila Guilherme;60;3;1;Apartamento;3000;3845;02065-010;Norte
Rua Amandaú;Tucuruvi;35;2;0;Apartamento;2500;2976;02242-010;Norte
Rua Conselheiro Lafaiette;Mooca;45;2;0;Apartamento;2400;2993;03164-110;Leste
Rua Cardoso de Almeida;Perdizes;33;1;0;Apartamento;3000;4039;05013-000;Oeste
Rua Leandro Dupré;Vila Clementino;15;1;0;Studio e kitnet;1000;1038;04025-010;Sul
Rua Leôncio da Costa Vieira;Jardim Piqueroby;41;2;0;Studio e kitnet;2900;3142;03463-070;Leste
Avenida Mascote;Vila Mascote;86;2;2;Apartamento;4800;5935;04372-060;Sul
Rua Bela Cintra;Consolação;51;1;1;Apartamento;4000;5189;04421-230;Sul
Rua Gomes de Carvalho;Vila Olímpia;30;1;1;Studio e kitnet;3000;3751;04547-000;Sul
Avenida Vereador José Diniz;Santo Amaro;47;1;1;Apartamento;2799;3526;04604-000;Sul
Rua Batataes;Jardim Paulista;54;1;2;Apartamento;3466;6316;01423-010;Central
Rua Augusta;Cerqueira César;35;1;1;Apartamento;2800;3661;01312-000;Central
Rua Cardoso de Almeida;Perdizes;33;1;0;Studio e kitnet;3000;4116;05013-000;Oeste
Rua Doutor Plínio Barreto;Bela Vista;60;2;1;Apartamento;5500;6504;01313-020;Central
Rua Azevedo Soares;Vila Gomes Cardim;82;3;1;Apartamento;3000;4040;03322-000;Leste
Rua Luís Correia de Melo;Vila Cruzeiro;58;2;1;Apartamento;3500;4479;04726-220;Sul
R. Mal. Barbacena;Jardim Anália Franco;78;1;1;Apartamento;3950;5182;03333-000;Leste
Rua Marília de Dirceu;Jardim Aeroporto;200;2;1;Casa;8000;8398;04632-030;Sul
Rua Marie Nader Calfat 270;Jardim Ampliação;32;1;0;Studio e kitnet;2370;2962;05713-520;Oeste
Avenida Amador Bueno da Veiga;Penha de França;58;2;1;Apartamento;2500;3476;03653-000;Leste
